,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
5,Hungary,2010,1112898288.0,328639180.0,76537.0,68845.0,383.2,301.3,88.3,310.4,1.1,20.2,140519.0,100586.0,7352.0,9178.0,,1477.0,13942.0,,5577.0,1077.0,2209.0,9952.0,1864.0,16.0,80.0,21657.0,16308.0,74.0,16308.0,7.4,740.0,7
24,Hungary,2011,647012280.0,256474885.0,76316.0,68510.0,360.2,297.6,76.4,286.2,0.6,18.8,145669.0,102323.0,7487.0,9446.0,,1516.0,13860.0,36742.0,5785.0,1190.0,2215.0,7175.0,1864.0,,77.0,20810.0,15827.0,64.0,15827.0,6.4,638.0,6
43,Hungary,2012,625080792.0,295796204.0,76467.0,68661.0,395.0,301.0,81.8,313.0,0.6,18.9,147803.0,103034.0,7486.0,9421.0,,1515.0,12566.0,36062.0,5784.0,1163.0,2215.0,8135.0,1864.0,47.0,72.0,19584.0,15174.0,61.0,15174.0,6.1,605.0,6
62,Hungary,2013,1023894325.0,370188266.0,76631.0,68788.0,392.6,307.4,72.3,296.4,1.0,19.4,148494.0,97961.0,7357.0,9523.0,,1767.0,12652.0,36056.0,5782.0,1131.0,2217.0,7857.0,1864.0,52.0,72.0,20681.0,15691.0,59.7,15691.0,6.0,591.0,5
81,Hungary,2014,1865089420.0,272792913.0,77901.0,70163.0,392.8,315.0,77.6,,1.8,20.1,146127.0,417380.0,7193.0,9359.0,,1782.0,12960.0,36771.0,5782.0,1166.0,2215.0,7825.0,1864.0,52.0,71.0,20750.0,15847.0,63.4,15847.0,6.3,626.0,6
100,Hungary,2015,1948964209.0,282235255.0,79830.0,72221.0,443.7,324.8,95.4,,1.7,21.3,144397.0,164820.0,7197.0,9358.0,,1884.0,11581.0,38581.0,5873.0,1153.0,2215.0,8163.0,1864.0,52.0,70.0,21543.0,16331.0,65.4,16331.0,6.6,648.0,6
119,Hungary,2016,1136197264.0,292602581.0,82630.0,74977.0,454.3,337.6,93.1,,1.0,23.1,146583.0,136438.0,7811.0,11424.0,,1924.0,11042.0,40451.0,5964.0,1170.0,2215.0,8224.0,1864.0,52.0,68.0,21936.0,16627.0,61.9,16627.0,6.2,608.0,6
138,Hungary,2017,1836618193.0,369402388.0,86476.0,78745.0,422.9,354.7,89.0,,1.4,22.0,147428.0,125413.0,7918.0,11531.0,,1937.0,12462.0,43016.0,5873.0,1167.0,2236.0,8414.0,1864.0,52.0,70.0,22076.0,16489.0,63.9,16489.0,6.4,625.0,6
157,Hungary,2018,2584493133.0,379716515.0,90376.0,82607.0,359.8,372.5,84.3,,1.9,23.1,147986.0,131980.0,7732.0,11336.0,,1982.0,13200.0,44796.0,5873.0,1133.0,2236.0,6926.0,1864.0,52.0,70.0,22632.0,16951.0,64.8,16951.0,6.5,634.0,7
175,Hungary,2019,3169330826.0,375727022.0,93508.0,85756.0,358.4,390.1,87.7,288.5,2.2,25.4,,,,,,,,,,,,,,,,22198.0,16627.0,61.6,,6.2,602.0,22
192,Hungary,2020,2540945305.0,387119648.0,82004.0,77150.0,339.0,402.1,,,1.9,29.1,,,,,,,,,,,,,,,,18176.0,13778.0,47.2,,4.7,462.0,24
