,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
4,Germany,2010,17157000000.0,,1046778.0,962892.0,146.8,510.4,43.6,207.3,0.7,31.8,2369019.0,1051036.0,37877.0,69278.0,,12819.0,88842.0,,,5127.0,2370.0,229607.0,7728.0,125.0,1336.0,374818.0,288297.0,44.6,288297.0,4.5,3648.0,8
23,Germany,2011,17446000000.0,,1057771.0,972357.0,135.4,527.0,40.0,191.4,0.6,32.0,2512521.0,984000.0,37846.0,69222.0,,12845.0,86572.0,,,,2370.0,221966.0,7728.0,,1331.0,396374.0,306266.0,49.9,306266.0,4.9,4009.0,10
42,Germany,2012,17815000000.0,,1061115.0,972319.0,139.5,533.8,42.1,203.9,0.6,30.9,2550000.0,1024000.0,37941.0,69395.0,,12879.0,87898.0,,,,2370.0,223170.0,7675.0,332.0,1292.0,387978.0,299637.0,44.8,299637.0,4.5,3600.0,9
61,Germany,2013,17903301077.0,,1069861.0,980246.0,133.0,538.5,40.8,194.4,0.6,31.0,2611600.0,1025000.0,37860.0,69247.0,,12917.0,87332.0,,,,2370.0,226864.0,7675.0,329.0,1253.0,377481.0,291105.0,41.4,291105.0,4.1,3339.0,9
80,Germany,2014,19438115139.0,,1086166.0,995190.0,128.4,541.5,39.7,190.4,0.7,31.4,2692400.0,1056000.0,37775.0,69092.0,,12949.0,87728.0,,,,2370.0,228489.0,7675.0,400.0,1204.0,392912.0,302435.0,41.7,302435.0,4.2,3377.0,9
99,Germany,2015,19017149428.0,,1100374.0,1008771.0,150.2,543.6,46.9,224.1,0.6,33.0,2706900.0,1043713.0,38466.0,67400.0,,12993.0,90661.0,,,3032.0,2370.0,221369.0,7675.0,,1168.0,396891.0,305659.0,42.3,305659.0,4.3,3459.0,9
118,Germany,2016,19283000000.0,,1121952.0,1027755.0,149.2,547.3,46.4,221.7,0.6,34.1,2793330.0,1012791.0,38623.0,,,12996.0,92208.0,,,,2370.0,221349.0,7675.0,,1176.0,399872.0,308145.0,38.9,308145.0,3.9,3206.0,11
137,Germany,2017,21296000000.0,,1072960.0,977430.0,140.7,554.1,44.4,203.6,0.7,34.2,2831444.0,1078764.0,38594.0,,,13009.0,90932.0,,,,2370.0,222731.0,7675.0,,1157.0,393492.0,302656.0,38.5,302656.0,3.9,3180.0,11
156,Germany,2018,23220000000.0,,1076872.0,978702.0,128.9,560.6,39.9,189.5,0.7,33.7,2880871.0,1096502.0,38416.0,,,13141.0,84481.0,,,,2370.0,197904.0,7675.0,,1187.0,399293.0,308721.0,39.5,308721.0,4.0,3275.0,11
174,Germany,2019,25287000000.0,,1083247.0,981219.0,132.0,566.8,41.6,195.5,0.7,35.6,,,,,,,,,,,,,,,,387276.0,300143.0,36.7,,3.7,3046.0,22
191,Germany,2020,26885000000.0,,,,125.1,573.2,,,0.8,38.9,,,,,,,,,,,,,,,,330269.0,264499.0,32.7,,3.3,2719.0,26
